game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Far Cry®3 Standard Edition₹999,Far Cry®3,₹999,DeveloperUbisoft MontrealMassive EntertainmentUbisoft Shanghai,ActionFirst PersonShooterOpen World,Single Player,PublisherUbisoft,Release Date01/15/13,Windows® 7SP1 / Windows® 8,,512 MB DirectX® 10 compliant with Shader Model 4.0 or higher (see supported list),,"Far Cry®3Key Features:AN OPEN WORLD FIRST-PERSON SHOOTERCreate your own FPS adventure. Customize your weapons, your skills and your approach to each mission, whether you favor intense run-and-gun action, stealthy close-up takedowns or long-range sniping.AN ISLAND OF DANGER AND DISCOVERYExplore a diverse island playground, from mountain ranges and swampy grasslands to white sandy beaches. Discover relics, hunt exotic animals, play mini-games and travel quickly by land, sea or air. Fight your way through the island’s towns, temples, river ports and more!UNCOVER A MEMORABLE STORY AND AN INSANE CAST OF CHARACTERSEncounter an engaging and disturbed cast of characters as you take a gritty journey to the dark side of humanity, written by a Writers Guild Award winner.PLAY WITH FRIENDS IN A FULL CO-OP CAMPAIGNPlay online and team up in a four-player campaign which challenges you to be your best and work together to prevail. Experience the island through the eyes of a wayward crew in their own quest to survive against the odds.A DIFFERENT BREED OF MULTIPLAYERInnovative multiplayer rewards skill and team play. To level up, players must support each other by boosting with battle cries, reviving teammates and calling in support weapons. After each match, players have the choice to punish or show mercy for their foes in fun and twisted ways, choreographed with interactive cutscenes.USE THE MAP EDITOR TO CREATE AND ACCESS NEW CONTENTThe powerful and easy-to-use Far Cry® Map Editor is back, with new and improved features. A community of mapmakers ensures a constant stream of all-new content with the very best being showcased for the whole world to enjoy. Using the included tools, you too can make amazing maps, quickly and easily.CUTTING-EDGE GRAPHICS AND GAMEPLAYFar Cry® 3 is being developed by the world-class game designers who brought you such critically acclaimed titles as Assassin’s Creed® 2, Assassin’s Creed® Brotherhood, and World in Conflict®.",,,PlatformWindowsWindows,
"Far Cry Primal Standard Edition₹2,499",Far Cry Primal,"₹2,499",DeveloperUbisoft Montreal,ActionSurvivalOpen World,Single Player,PublisherUbisoft,Release Date03/01/16,"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)",,4 GB RAM,"Windows-compatible keyboard, mouse, headset, optional controller. Supported Video Cards at Time of Release: AMD Radeon™ HD 5770 (1 GB VRAM) or better, HD 7000 / 200 / 300 / Fury X series, NVIDIA® GeForce® GTX 460 (1 GB VRAM) or better, GTX 500 / 600 / 700 / 900 / TITAN series. Note: This product supports 64-bit operating systems only. Laptop versions of these cards may work, but are not officially supported. For the most up-to-date requirement listings, please visit the FAQ on our support website at support.ubi.com. HIGH SPEED INTERNET ACCESS AND A VALID UPLAY ACCOUNT REQUIRED TO ACTIVATE THE GAME AFTER INSTALLATION, TO AUTHENTICATE YOUR SYSTEM AND CONTINUE GAMEPLAY AFTER ANY RE-ACTIVATION, TO ACCESS ONLINE FEATURES AND TO UNLOCK EXCLUSIVE CONTENT. SUCH CONTENT MAY ONLY BE UNLOCKED ONE SINGLE TIME WITH A UNIQUE KEY. YOU MUST BE AT LEAST 13 TO CREATE A UPLAY ACCOUNT WITHOUT PARENTAL CONSENT. UBISOFT MAY CANCEL ACCESS TO ONE OR MORE SPECIFIC ONLINE FEATURES UPON 30-DAYS PRIOR NOTICE, PUBLISHED AT www.farcrygame.com. Game contains Denuvo (https://www.denuvo.com/) anti-tamper technology.","From Prey to PredatorWelcome to the Stone Age, a time of extreme danger and limitless adventure, when giant mammoths and sabretooth tigers ruled the Earth and humanity is at the bottom of the food chain. As the last survivor of your hunting group, you will learn to craft a deadly arsenal, fend off fierce predators, and outsmart enemy tribes to conquer the land of Oros and become the Apex Predator.STONE AGE BY FAR CRY: The rich setting of the Stone Age provides a new setting filled with unpredictable mayhem, dangerous threats, and incredible stories that Far Cry is known for. RISE ABOVE EXTINCTION: Play as Takkar, a seasoned hunter and the last surviving member of your group. There is one goal: survive in a world where you are the prey. FIERCE WILDLIFE AND SAVAGE AND MAJESTIC WORLD: This is earth before man laid claim to it, where deadly sabretooth tigers ruled the world, giant woolly mammoths were kings, and herds of massive Elk stormed through the plains. Discover these and many more daunting creatures in the savage open-world of Oros within the towering redwood forests, harsh taiga, cold glacial mountains and humid swamps.",60%,Strong,PlatformWindowsWindows,77
Sky Fleet₹349,Sky Fleet,₹349,DeveloperEnno  Games,ActionIndieStrategy,Co-opSingle PlayerCompetitive,PublisherFreedom Games,Release Date12/17/21,Windows 10,,8 GB,,Geforce 1060 or equivalent,,,PlatformWindowsWindowsMac OSMac OS,
El Hijo – A Wild West Tale₹529,El Hijo – A Wild West Tale,₹529,"DeveloperHonig Studios, Quantumfrog",ExplorationStealthCasual,Single Player,PublisherHandyGames,Release Date03/11/22,Windows 10 64-bit,,8GB,,"GeForce 560 or higher, AMD Radeon HD 5830 or higher",48%,Fair,Windows,72
Trash Sailors₹529,Trash Sailors,₹529,DeveloperfluckyMachine,Action-AdventureIndieSimulation,Co-opController SupportSingle PlayerMultiplayer,PublishertinyBuild,Release Date12/16/21,Windows 7,,2 Gb,2 Gb,GeForce 8600GT,,,PlatformWindowsWindows,
"BekuAvailable Q2, 2022₹139",Beku,₹139,DeveloperWiwiGameStudio,IndieActionRogue-Lite,Single PlayerCo-op,PublisherHound Picked Games,"AvailableQ2, 2022","Windows Vista or 7 ,8, 10",,4 GB RAM,1 GB available space,GeForce 9800GTX,,,Windows,
Submerged₹469,Submerged,₹469,DeveloperUppercut Games Pty Ltd,AdventureExploration,Single Player,PublisherUppercut Games Pty Ltd,Release Date03/10/22,Windows 10,,4GB,3GB,GeForce 9800GTX or ATI Radeon HD 4770,15%,Weak,Windows,54
Guardian of Lore₹329,Guardian of Lore,₹329,DeveloperRound2Games,Action-AdventureRPGAction,Single PlayerController Support,"PublisherTop Hat Studios, Inc.",Release Date03/02/22,Windows 7,,4GB,,GeForce 9800GTX+ (1GB),,,Windows,
Baldur's Gate: Dark Alliance₹709,Baldur's Gate: Dark Alliance,₹709,DeveloperBlack Isle Studios,RPGAction,Single PlayerCo-opController Support,PublisherInterplay Entertainment Corp.,Release Date12/17/21,Windows 7,,1 GB,Gamepad,GeForce FX5700 or better / ATI Radeon 9600 or better,44%,Weak,PlatformWindowsWindowsMac OSMac OS,64
Patron-40%₹469₹281.40,Patron,₹281.40,DeveloperOverseer Games,City BuilderSurvival,Single Player,PublisherOverseer Games,Release Date03/10/22,Windows 10 (64-bit),,8GB RAM,10 GB,GeForce GTX 1050 3 GB or AMD Radeon™ RX 560 4 GB or equivalent,,,Windows,
