game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Saint Kotar₹589,Saint Kotar,₹589,Red Martyr Entertainment,NarrationHorrorIndie,Controller SupportSingle Player,SOEDESCO,10/28/21,Windows 10 64-bit,2 GHz,4 GB RAM,8 GB available space,2 GB RAM,,,PlatformWindowsWindows,
To The Rescue₹469,To The Rescue!,₹469,Little Rock Games,SimulationIndieCasual,Controller SupportSingle Player,Freedom Games,11/02/21,Windows 7+,2.2GHz Dual Core,4 GB RAM,,512MB VRAM,27%,,PlatformWindowsWindows,
Cyanide & Happiness - Freakpocalypse (Episode 1)₹469,Cyanide & Happiness - Freakpocalypse (Episode 1),₹469,"Explosm, Skeleton Crew Studios",NarrationComedyAdventure,Single Player,Serenity Forge,03/11/21,Windows 10,2.0 GHz,4 GB RAM,,Privacy Policy,16%,Fair,PlatformWindowsWindows,66
HyperParasite₹349,HyperParasite,₹349,Troglobytes Games,ActionAction-AdventureAdventure,Single Player,"Nicalis, Inc.",03/19/21,Windows 7/8.1/10 x64,ntel Core i5-760 (4 * 2800) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,,3 GB available space,42%,Fair,PlatformWindowsWindows,69
Pato Box₹349,Pato Box,₹349,Bromio,Action-Adventure,Controller SupportSingle Player,Bromio,09/02/21,Windows 10,Intel Core i7,4 GB RAM,NVIDIA 750 GTX,2GB,47%,Fair,PlatformWindowsWindows,72
"Wolfenstein: The New Order₹1,179",Wolfenstein: The New Order,"₹1,179",Machine Games,ActionShooterFirst Person,Single Player,Bethesda Softworks,09/09/21,64-bit Windows 8,Requires a 64-bit processor and operating system,4 GB RAM,AMD Radeon users: Please install AMD Catalyst™ 14.4,50 GB available space,81%,Strong,Windows,81
KORAL₹239,KORAL,₹239,Carlos Coronado,PuzzleCasualExploration,Single PlayerController Support,Carlos Coronado,06/30/21,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,4 GB RAM,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,300 mb,,,PlatformWindowsWindows,
Oxygen Not Included₹596,Oxygen Not Included,₹596,Klei Entertainment,SimulationStrategy,Single Player,Klei Entertainment,11/25/19,Windows 7 (64 bit) or Newer,Dual Core 2 GHz,4 GB RAM,Intel HD 4600 (AMD or NVIDIA equivalent),2 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
The Alto Collection₹223,The Alto Collection,₹223,Team Alto,AdventureIndie,Single Player,Snowman,08/13/20,Windows 7 (64 bit),Dual Core 2.4Ghz,4 GB RAM,GeForce 880 GT / AMD HD 6850 / Intel HD Graphics 520 or above,400 MB Available Space,92%,Strong,PlatformWindowsWindows,77
The Count Lucanor₹239,The Count Lucanor,₹239,Baroque Decay,HorrorSurvivalStealth,Single Player,Neon Doctrine,06/30/21,Windows 7,"Core i3, i5, i7",4 GB RAM,,512 MB,59%,Strong,Windows,76
APE OUT₹446,APE OUT,₹446,Gabe Cuzzillo,ActionIndie,Controller Support,Devolver Digital,02/28/19,"Windows 7, 8, 8.1, 10 x64",Intel Core i3-2100 (2 * 3100) or equivalent,4 GB RAM,GeForce GTX 550 Ti (1024 MB),2 GB available space,90%,Strong,PlatformWindowsWindowsMac OSMac OS,83
Supraland₹469,Supraland,₹469,Supra Games,PuzzleExploration,Single Player,Supra Games,07/02/21,Windows 10,Intel Core i5 6600 or AMD Ryzen 1600x,4 GB RAM,GTX 780,4 GB available space,75%,Strong,Windows,77
Legend of Grimrock₹349,Legend of Grimrock,₹349,Almost Human Ltd.,RPGIndie,,Almost Human Ltd.,10/25/21,Windows 7,Quad Core 2.66GHz Intel or 3.2GHz AMD,4 GB RAM,ATI Radeon X1600 or NVIDIA GeForce 7600 or better (256MB graphics memory or more. Shader Model 3.0 needs to be supported),2 GB HD space,,,Windows,
Shadowrun: Dragonfall - Director’s Cut₹459,Shadowrun: Dragonfall - Director’s Cut,₹459,Harebrained Schemes,Turn-BasedRPGStrategy,,Paradox Interactive,08/27/20,Windows XP SP3/Vista/Windows 7,x86-compatible 2GHz or faster processor,4 GB RAM,DirectX compatible 3D graphics card with at least 256MB of addressable memory,2 GB available space,86%,Mighty,PlatformWindowsWindows,85
Shadowrun Returns₹459,Shadowrun Returns,₹459,Harebrained Schemes,Turn-BasedRPG,,Paradox Interactive,08/27/20,Windows XP SP3/Vista/Windows 7,x86-compatible 2GHz or faster processor,4 GB RAM,DirectX compatible 3D graphics card with at least 256MB of addressable memory,2 GB HD space,,,PlatformWindowsWindows,
Yuppie Psycho: Executive Edition₹489,Yuppie Psycho: Executive Edition,₹489,Baroque Decay,HorrorExplorationSurvival,Single Player,Neon Doctrine,06/30/21,Windows 7,"Core i3, i5, i7",4 GB RAM,,2 GB available space,,,Windows,
The Vale: Shadow of the Crown₹469,The Vale: Shadow of the Crown,₹469,Falling Squirrel,ActionExplorationAdventure,Single PlayerController Support,Falling Squirrel,08/19/21,Windows 10,Intel i3,4 GB RAM,,1 GB available space,90%,Strong,PlatformWindowsWindows,82
Banners of Ruin₹469,Banners of Ruin,₹469,MonteBearo,StrategyCard Game,Single Player,Goblinz Publishing,07/29/21,Windows 10 (64 bit),2.0 GHz Dual Core,4 GB RAM,"2Gb VRAM, OpenGL 3.0 support",2 GB available space,,,PlatformWindowsWindows,
Mayhem in Single Valley₹349,Mayhem in Single Valley,₹349,Fluxscopic Ltd.,ActionIndieAdventure,Controller SupportSingle Player,tinyBuild,05/20/21,Windows 10,2.4 GHz Quad Core,4 GB RAM,GTX 760 or Equivalent,2 GB,,,PlatformWindowsWindows,
Wizards: Wand of Epicosity₹189,Wizards: Wand of Epicosity,₹189,Game Mechanic Studios,ActionRPGAction-AdventureAdventure,Single Player,Game Mechanic Studios,08/04/20,Windows 8 or 10 64 bit,Core i5,4 GB RAM,,4 GB available space,,,Windows,
"Fuga: Melodies of Steel₹2,174",Fuga: Melodies of Steel,"₹2,174",CyberConnect2,RPG,Single Player,CyberConnect2,07/29/21,Windows 7/8/10 (64-bit OS required),"AMD A10-7850K, 3.7 GHz / Intel Core i3-2125, 3.30 GHz",4 GB RAM,"Radeon HD 6870, 1 GB / GeForce GTX 460, 768 MB",3 GB available space,80%,Strong,PlatformWindowsWindows,82
ChromaGun₹309,ChromaGun,₹309,Pixel Maniacs,PuzzleFirst PersonIndie,Single Player,Pixel Maniacs,11/03/21,Windows 8.1,2.4 GHz Intel i5,4 GB RAM,,1 GB available space,33%,Fair,Windows,71
Eastward₹619,Eastward,₹619,Pixpil,RPGAdventureIndie,Single PlayerController Support,Chucklefish,09/16/21,Windows 7/8/10,Intel i5,4 GB RAM,"OpenGL 3.2, Requires a 64-bit processor and operating system",2 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
Bad North₹446,Bad North,₹446,Plausible Concept,ActionStrategyRogue-Lite,Controller Support,Raw Fury,11/16/18,Windows 7+,"AMD Athlon X4 605e, Intel Celeron G1610 or equivalent",4 GB RAM,"Radeon HD 7850, GeForce GTX 470 or equivalent",200 MB available space,46%,Fair,PlatformWindowsWindows,71
The Textorcist: The Story of Ray Bibbia₹446,The Textorcist: The Story of Ray Bibbia,₹446,MorbidWare,ActionIndie,,Headup GmbH,11/12/20,Windows 10,2 GHz,4 GB RAM,,250 MB available space,64%,Strong,PlatformWindowsWindowsMac OSMac OS,78
Speed Brawl₹529,Speed Brawl,₹529,Double Stallion Games,ActionFightinger,Co-opMultiplayerSingle PlayerController Support,Double Stallion Games,09/18/18,Windows 10,Intel Core i5 or equivalent,4 GB RAM,,5420 MB available space,73%,Fair,PlatformWindowsWindows,74
Cosmic Express₹239,Cosmic Express,₹239,Draknek & Friends,PuzzleIndie,Single Player,Draknek & Friends,04/27/21,Windows 10,SSE2 instruction set support,4 GB RAM,"256 MB NVidia or ATI graphics card, Intel HD Graphics 3000 or better",500 MB Available Space,,,Windows,
Shadowrun Hong Kong - Extended Edition₹529,Shadowrun Hong Kong - Extended Edition,₹529,Harebrained Schemes,RPGTurn-BasedIndie,,Paradox Interactive,08/27/20,Windows XP SP3/Vista/Windows 7 & 8,x86-compatible 2GHz or faster processor,4 GB RAM,DirectX compatible 3D graphics card with at least 256MB of addressable memory,10 GB available space,87%,Strong,PlatformWindowsWindows,83
Planescape: Torment: Enhanced Edition₹469,Planescape: Torment: Enhanced Edition,₹469,Beamdog,RPGAdventure,Single Player,–,09/28/21,Windows 10,AMD Ryzen 3 or Intel Core i3 processor,4 GB RAM,,2 GB,77%,Mighty,Windows,84
Lovecraft's Untold Stories₹459,Lovecraft's Untold Stories,₹459,LLC Blini Games,ActionIndieShooter,Single Player,1C Entertainment,07/20/21,Windows 7 / Windows 8 / Windows 10,"Dual Core CPU 2,4GHz or better",4 GB RAM,Intel HD 3000 GPU / AMD HD 5450 / Nvidia 9400 GT,2GB,,,Windows,
Kine₹349,Kine,₹349,Gwen Frey,PuzzleNarrationStrategy,Single Player,Gwen Frey,02/24/20,Windows 7 64 bit,"Dual Core Processor, 2.5 GHz or Higher",4 GB RAM,DX11 compatible video card,2 GB available space,,,PlatformWindowsWindows,
HORROR TALES The Wine₹349,HORROR TALES: The Wine,₹349,Carlos Coronado,HorrorSurvivalExploration,Controller SupportSingle Player,Carlos Coronado,07/30/21,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,4 GB RAM,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,4G,,,PlatformWindowsWindows,
Dandara: Trials of Fear Edition₹349,Dandara: Trials of Fear Edition,₹349,Long Hat House,Actioner,,Raw Fury,01/28/21,Microsoft® Windows® XP,1.8 GHz Processor,4 GB RAM,,1 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
SLUDGE LIFE₹499,Sludge Life,₹499,Terri Vellmann & Doseone,Adventure,,Devolver Digital,05/28/20,Windows 7/8.1/10 x64,Intel Core i3-2100 (2 * 3100) or equivalent or AMD Phenom II X4 965 (4 * 3400) or equivalent,4 GB RAM,GeForce GTX 660 (2048 MB),"SLUDGE LIFESLUDGE LIFE is a first-person / open-world / vandalism-centric stroll through a polluted island full of cranky idiots and a vibe so thick you can taste it.Roam a tiny island stuck on a sludge covered planet as an upcoming tagger GHOST set on staking their claim amongst the graffiti elite. Traverse the corporately branded landscape, chat up other taggers, and discover secrets and idiots along the way.Will you become the king of the island and tag every open inch, infiltrate sludge-pumping corporation GLUG to find a way out, or just take it all down in flames with you?FEATURESExperience the thrills of vandalism from the safety of your computer. Curiosity and free will are your only motivators - roll as you please. Find and download apps to your laptop and waste your life away playing a game in a game. Smoke Ciggy Cigs brand cigarettes. * Take photos of exotic fauna and ambivalent NPCs. Dedicated fart button.A huge baby, community basketball court, and a cat with two buttholes. (no extra charge) Three distinct endings and a pretty robust credits.",57%,Strong,PlatformWindowsWindows,75
Metro 2033 Redux₹670,Metro: 2033 Redux,₹670,4A Games,ActionFirst PersonShooter,Single Player,Deep Silver,03/16/10,Windows 7 or 8 (64-bit only),Any Quad Core or 3.0+ GHz Dual Core CPU,4 GB RAM,DirectX 11 compliant graphics card (GeForce GTX 480 and above),10 GB available space,83%,Mighty,PlatformWindowsWindows,85
Alan Wake’s American Nightmare₹297,Alan Wake's American Nightmare,₹297,Remedy Entertainment,ActionHorrorShooter,Single PlayerController Support,Remedy Entertainment,05/22/12,Windows 7,Quad Core 2.66GHz Intel or 3.2GHz AMD,4 GB RAM,DirectX 10 compatible with 1GB RAM,3 GB,,,PlatformWindowsWindows,
Adios₹429,Adios,₹429,Mischief,NarrationAdventureFirst Person,Controller SupportSingle Player,Mischief,06/29/21,10,Intel Core i5-3340 3.1GHz / AMD FX-8150,4 GB RAM,NVIDIA GTX 670/AMD Radeon RX 460 or equivalent (Integrated graphics not supported),NVIDIA GTX 560/AMD Radeon 6870 or equivalent (Integrated graphics not supported),62%,Strong,PlatformWindowsWindows,75
Icewind Dale: Enhanced Edition₹469,Icewind Dale: Enhanced Edition,₹469,Beamdog,RPG,Co-opSingle Player,Beamdog,09/28/21,Windows 10 64-bit,AMD Ryzen 3 or Intel Core i3 processor,4 GB RAM,,4 GB available space,,,Windows,
Out of Line₹309,Out of Line,₹309,Nerd Monkeys,PuzzleerIndie,Single Player,Hatinh Interactive,06/23/21,Windows 10 64-bit,"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",4 GB RAM,"NVIDIA GTX 660, Radeon R9-270",500 MB available space,52%,Fair,PlatformWindowsWindows,69
TOEM₹469,TOEM,₹469,Something We Made,PuzzleExplorationAdventure,Single PlayerController Support,Something We Made,09/17/21,Windows 10,Intel or AMD Dual Core at 2 GHz,4 GB RAM,,,,,PlatformWindowsWindowsMac OSMac OS,
Wheels of Aurelia₹349,Wheels of Aurelia,₹349,Santa Ragione srl,IndieNarrationRacing,,Santa Ragione srl,04/16/20,Windows 7+ (64bits),X64 Dual Core CPU 2+,4 GB RAM,,500 MB,36%,Weak,PlatformWindowsWindowsMac OSMac OS,55
Legend of Grimrock 2₹709,Legend Of Grimrock 2,₹709,Almost Human Ltd.,RPGIndie,Single Player,Almost Human Ltd.,10/25/21,Windows 7,Quad Core 2.66 Ghz Intel or 3.2 GHz AMD,4 GB RAM,,2 GB available space,79%,Mighty,Windows,84
The End is Nigh₹446,The End is Nigh,₹446,"Edmund McMillen, Tyler Glaiel",ActionerIndie,Single PlayerController Support,"Edmund McMillen, Tyler Glaiel",07/12/17,Windows 10,Intel Core i7,4 GB RAM,nvidia 960 or higher,dedicated graphics card (opengl 3.0 support or higher),82%,Strong,PlatformWindowsWindows,82
Thimbleweed Park₹595,Thimbleweed Park,₹595,"Terrible Toybox, Inc.",IndiePuzzleAdventure,Controller SupportSingle Player,"Terrible Toybox, Inc.",03/30/17,Windows 7 (FULLY patched),2 GHz,4 GB RAM,Intel HD 3000 or better,Intel HD 3000 or better,84%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,83
Oxenfree₹297,Oxenfree,₹297,Night School Studio,NarrationAdventureIndie,Single PlayerController Support,Night School Studio,01/15/19,Windows 8.1 64-bit,Intel i5 2.5 GHz,4 GB RAM,NVIDIA GeForce GTX 460 | Radeon HD 6750 (or higher),3 GB available space,79%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,81
Baldur's Gate II: Enhanced Edition₹469,Baldur's Gate II: Enhanced Edition,₹469,Beamdog,RPGAdventure,Co-opSingle Player,Beamdog,09/28/21,Windows 10 64-bit,AMD Ryzen 3 or Intel Core i3 processor,4 GB RAM,,4 GB available space,64%,Strong,Windows,76
Dishonored - Definitive Edition₹999,Dishonored - Definitive Edition,₹999,Arkane Studios,ActionAction-AdventureStealth,Single Player,Bethesda Softworks,09/09/21,Windows Vista / Windows 7 (enhanced for 64-bit OS),2.4 GHz quad core or better (enhanced for multi-core processors),4 GB system RAM,Windows compatible sound card,9 GB,73%,Strong,Windows,78
Journey₹446,Journey,₹446,thatgamecompany,IndieAdventure,Co-opSingle Player,Annapurna Interactive,06/06/19,Windows 10,Intel Core i3-2120 | AMD FX-4350,4 GB System RAM & 1 GB Video RAM,Nvidia GTS 450 | AMD Radeon HD 5750,Nvidia GTS 450 | AMD Radeon HD 5750,96%,Mighty,PlatformWindowsWindows,93
Among the Sleep - Enhanced Edition₹399,Among the Sleep - Enhanced Edition,₹399,Krillbite Studio AS,HorrorAdventureIndie,Controller Support,Krillbite Studio AS,10/21/21,Windows 7 or higher,Quadcore 2.5GHz,4096 MB,Video card with 512MB of VRAM,2 GB,,,Windows,
For The King₹521,For The King,₹521,IronOak Games,Turn-BasedAdventure,Co-op,Curve Digital,04/23/20,Windows 7/8/8.1/10 x64,Intel Core i5-4570T (2* 2900) / AMD FX-6100 (6 * 3300) or equivalent,4096 MB RAM,GeForce GTX 750 Ti (2048 MB) / Radeon HD 7850 (2048 MB),3GB,59%,Strong,PlatformWindowsWindows,75
Hue₹349,Hue,₹349,Fiddle Sticks,PuzzleAdventureer,Single Player,Curve Digital,07/02/20,Windows XP SP3/Vista with SP2/7/8/8.1/10 x86 or x64,Intel Core 2 Duo E7300 (2 * 2660) or equivalent | AMD Athlon 64 X2 6000+ (2 * 3000) or equivalent,4096MB,,400MB,79%,Strong,Windows,79
Hamsterdam₹119,Hamsterdam,₹119,Muse Games,ActionFightingIndie,Single Player,Muse Games,09/09/21,Windows 7 or higher,Intel Core 2 Duo E6600 or better,4G,,DirectX 9.0,,,Windows,
Teamfight TacticsFree,Teamfight Tactics,Free,Riot Games,Strategy,MultiplayerCompetitiveSingle Player,Riot Games,11/04/21,Win 10,Intel: Core i5-3300  AMD: Ryzen 3 1200  ARM: not supported,4GB,,16GB HDD,,,Windows,
The Wolf Among Us₹446,The Wolf Among Us,₹446,"LCG Entertainment, Inc.",ActionAdventure,Single Player,Telltale,12/01/19,Windows 10 64 bit service pack 1,Core 2 Duo 2.3 Ghz or equivalent,4GB,ATI or NVidia card w/ 1024 MB RAM,2GB,80%,Strong,PlatformWindowsWindows,80
League of LegendsFree,League of Legends,Free,Riot Games,ActionRPGStrategy,Co-opMultiplayerCompetitiveSingle Player,Riot Games,11/04/21,Win 10,Intel: Core i5-3300 AMD: Ryzen 3 1200 ARM: not supported,4GB,NVidia: GeForce 9600GT AMD: HD 6570 Intel: Intel HD 4600 Integrated Graphics,16GB SSD,,,Windows,
Dread Nautical₹595,Dread Nautical,₹595,Zen Studios,ActionIndie,,Zen Studios,04/29/20,Win10,Intel Core i7-3770/AMD FX-8350 or better,4GB,Intel HD 4400 or Nvidia and AMD equivalent,2.5GB,36%,Fair,PlatformWindowsWindows,66
Black Widow: Recharged₹239,Black Widow: Recharged,₹239,"AdamVision, SneakyBox",ActionShooter,Controller Support,Atari,10/28/21,Windows 7,Dual Core +,4GB,,400 MB available space,,,PlatformWindowsWindows,
Going Under₹521,Going Under,₹521,Aggro Crab Games,IndieDungeon Crawler,Single Player,Team17 Digital Ltd,09/29/20,Windows 10 64-bit,Intel Core i5-3470 | AMD FX-6300,4GB,"Nvidia GeForce GTS 450, 1 GB | AMD Radeon R7 250, 1 GB",4GB,81%,Strong,PlatformWindowsWindows,81
Centipede: Recharged₹239,Centipede: Recharged,₹239,"AdamVision, SneakyBox",ActionShooter,Co-opSingle Player,Atari,09/29/21,Windows 7,Dual Core +,4GB,,400 MB available space,,,PlatformWindowsWindows,
Dreamscaper₹589,Dreamscaper,₹589,Afterburner,ActionRogue-LiteAdventure,Single PlayerController Support,Freedom Games,08/05/21,Windows 10 64-bit,Intel Core i5,4GB,GeForce GT 640,6GB,91%,Mighty,Windows,85
Narita Boy₹589,Narita Boy,₹589,Studio Koba,AdventureIndie,Single Player,Team17,03/30/21,Windows 10,"Dual Core processor, 3.0 GHz",4GB,"NVIDIA GeForce 9800 GTX, 1 GB or AMD Radeon HD 4870, 1 GB",3GB,71%,Strong,PlatformWindowsWindows,77
Shadow Complex Remastered₹521,Shadow Complex Remastered,₹521,Epic Games,Action,Single Player,Epic Games,08/19/09,Windows 7 and up,Intel i5 / AMD A4,4GB,NVIDIA GT 540 1GB / AMD 5550 1GB,1.5GB HDD space,59%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,76
Hammerting₹655,Hammerting,₹655,Warpzone Studios,SimulationRPG,Single Player,Team17 Digital Ltd,10/27/20,Windows 10,Intel Core i5-6600 | AMD Ryzen 3 1300X,4GB,Requires the graphics card to be compatible with Vulkan 1.1,4GB,,,PlatformWindowsWindows,
The Last Friend₹349,The Last Friend,₹349,"The Stonebot Studio, Ludus Games",FightingStrategy,Single PlayerController Support,Skystone Games Inc.,09/30/21,Windows 7 or higher (64 bit),2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 95,4GB,OpenGL 3.0 compliant video card,4 GB,77%,Strong,PlatformWindowsWindows,82
Songs for a Hero - Definitive Edition₹329,Songs for a Hero - Definitive Edition,₹329,Dumativa Game Studio,AdventureComedyer,Single Player,Dumativa Game Studio,07/08/21,Windows 10,"Intel Core 2 Duo, 2.0GHz ou AMD Athlon64 X2 3800+ 2.0GHz",4GB,VGA with DirectX9.0c e Shader Model 3.0 or Higher. (256MB),Radeon X600 XT ou GeForce 6800 GT,,,PlatformWindowsWindows,
Void Tyrant₹239,Void Tyrant,₹239,Quite Fresh Games,RPGCard Game,Single PlayerController Support,Armor Games Studios,10/11/21,Windows 10,1.8 GHz,4GB,,,,,Windows,
Ageless₹458,Ageless,₹458,One More Dream Studios,ActionAdventureer,,Team17 Digital Ltd.,07/29/20,Windows 10 64-bit,Intel Core i5 2300,4GB,,11,,,PlatformWindowsWindows,
Jetboard Joust₹239,Jetboard Joust,₹239,Bitbull LTD,ActionIndie,Single PlayerController Support,Freedom Games,08/20/21,"Windows 8, 64 bit+",2GHz+,4GB,,200MB,,,Windows,
Aground₹349,Aground,₹349,Fancy Fish Games,ExplorationOpen WorldAdventure,Single PlayerController Support,Whitethorn Games,02/11/21,Windows 10,2.0GHZ+,4GB Ram,,500 MB,,,PlatformWindowsWindowsMac OSMac OS,
Gone Viral₹469,Gone Viral,₹469,Skullbot Games,Rogue-LiteDungeon CrawlerAction,Single Player,Akupara Games,11/01/21,Windows 7 SP1 /8 /10 (64-bit only),"X64 Dual Core CPU, 2+ GHz",4GB RAM,2GB Available Space,2GB RAM,,,PlatformWindowsWindows,
The Darkside Detective A Fumble in the Dark₹309,The Darkside Detective: A Fumble in the Dark,₹309,Spooky Doorway,AdventureComedyExploration,Controller Support,Akupara Games,11/01/21,Windows 10,Pentium 4,4GB RAM,Dedicated GPU,1 GB Available Space,,,PlatformWindowsWindowsMac OSMac OS,
Oddworld: New 'n' Tasty₹469,Oddworld: New 'n' Tasty,₹469,Just Add Water,ActionPuzzleer,,"Oddworld Inhabitants, Inc.",12/18/20,Windows 8,Intel i5,4GB RAM,,10GB,85%,Strong,PlatformWindowsWindows,81
Sheltered₹459,Sheltered,₹459,Unicube,RPGStrategy,Single Player,Team17,09/09/21,Windows 10,Quad Core CPU,4GB RAM,"GeForce 7800, AMD HD 4600, Intel HD Graphics 3000 or above",600MB,30%,Fair,Windows,67
The Stanley Parable₹446,The Stanley Parable,₹446,Galactic Cafe,NarrationComedyAdventure,,Galactic Cafe,03/26/20,Windows 10,"3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",4GB RAM,,3GB,,,PlatformWindowsWindows,
Far Cry₹499,Far Cry,₹499,Crytek Studios,Action,,Ubisoft,08/18/20,Windows® 2000/XP (only),AMD Athlon 2-3 GHz or Pentium 4 2-3 GHz,512 - 1024 MB,DirectX 9.0b or higher,128 MB GeForce™ 4 128 MB to GeForce FX 5950; ATI Radeon 9500-9800 XT,,,Windows,
"Anno 2070₹1,499",Anno 2070,"₹1,499",Ubisoft Blue Byte,City BuilderStrategy,Single Player,Ubisoft,03/03/21,Windows® 7 (SP1) / Windows® 8,Intel Core®2 Duo E6700 @ 2.6 GHz or AMD Athlon64 X2 6000+ @ 3.0Ghz or better,512 MB DirectX® 9.0 – compliant card with Shader Model 5.0 or higher (Radeon HD5770 / GeForce GTX460 or better,DirectX compatible (Surround Sound 5.1 capable sound card recommended),5 GB,,,Windows,
Splinter Cell Chaos Theory₹499,Tom Clancy's Splinter Cell Chaos Theory,₹499,Ubisoft Montreal,ActionStealth,Co-op,Ubisoft,03/30/21,Microsoft Windows® XP,Pentium IV or Athlon 2.2 GHz,512 MB of RAM,4 GB,128 MB DirectX 9.0c compliant graphics card,,,Windows,
Sokobond₹239,Sokobond,₹239,Draknek & Friends,CasualPuzzleIndie,,Draknek & Friends,04/27/21,Windows 7+,SSE2 instruction set support,512 MB RAM,,100 MB available space,,,Windows,
Cave Story+₹349,Cave Story+,₹349,"Nicalis, Inc./Studio Pixel",ActionAdventureer,Controller Support,"Nicalis, Inc.",12/03/20,Windows 7,Intel Core Duo 2.0 Ghz and above,512 MB RAM,,200 MB,94%,Mighty,PlatformWindowsWindows,88
Neon City Riders: Super-powered Edition₹349,Neon City Riders: Super-powered Edition,₹349,Mecha Studios,ActionOpen WorldAdventure,Single Player,Mecha Studios,08/03/21,Windows 7 and above,1.2 ghz,512 mb video memory,Version 10,4 GB RAM,,,Windows,
Far Cry 2: Standard Edition₹499,Far Cry 2: Standard Edition,₹499,Ubisoft Montreal,Action,Single Player,Ubisoft,08/18/20,Microsoft Windows XP or Windows Vista (64 is supported),"Intel Core 2 Duo Family, AMD 64 X2 5200+, AMD Phenom or better","512 MB, NVidia 8600 GTS or better, ATI X1900 or better",,3.5 GB (Multiple saves and user created maps will increase the amount of needed hard disk space.),,,Windows,
Torchlight₹446,Torchlight,₹446,Runic Games,ActionDungeon CrawlerRPG,Single Player,Perfect World Entertainment,02/26/20,Windows XP or later,x86-compatible 800MHz processor,512MB,"DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200, NVIDIA GeForce 2, or Intel GMA 950)",400MB,,,PlatformWindowsWindows,
Shadowhand₹349,Shadowhand,₹349,Grey Alien Games,Card Game,,Positech Games,02/05/21,Windows 10,2 GHZ,512MB Video,7,4 GB,,,Windows,
Scarlet Hood and the Wicked Wood₹459,Scarlet Hood and the Wicked Wood,₹459,Devespresso Games,Adventure,Controller SupportSingle Player,Headup GmbH,04/08/21,Windows10 (64Bit),i5 or above,6 GB,Any with hardware 3D acceleration,6 GB,,,PlatformWindowsWindowsMac OSMac OS,
The Fabled Woods₹349,The Fabled Woods,₹349,CyberPunch Studios,ActionFirst PersonNarration,Single Player,Headup,03/25/21,Windows 10,"Intel Core i5-4690 3.5 GHz, AMD Ryzen 3 1300X 3.5 GHz",6 GB,"NVIDIA GeForce GTX 1050Ti, Radeon RX 560",6 GB,,,PlatformWindowsWindows,
Genesis Noir₹349,Genesis Noir,₹349,Feral Cat Den,AdventureIndie,Single Player,Fellow Traveller,03/26/21,Windows 10,Anything AMD or Intel from the past 5 years,6 GB,Anything AMD or Nvidia from the past 5 years,8 GB,,,PlatformWindowsWindowsMac OSMac OS,
Sakuna: Of Rice and Ruin₹699,Sakuna: Of Rice and Ruin,₹699,Edelweiss,ActionSimulationer,Single Player,XSEED Games,06/23/21,"Windows 8.1/10, 64-bit",Intel Core i5-7500,6 GB,NVIDIA GTX 750 Ti,7 GB,81%,Strong,Windows,80
Siege Survival - Gloria Victis₹569,Siege Survival - Gloria Victis,₹569,Black Eye Games,SimulationSurvival,,Ravenscourt,05/18/21,Windows 7 Sp. 64-bit,"Intel Core i5 or AMD Athlon II X4 with at least 3,2 GHz",6 GB,"GeForce GT 740, Radeon HD 7750 - at least 1GB GPU memory",10 GB,,,PlatformWindowsWindows,
WarfaceFree,Warface,Free,Allods Team,Shooter,Multiplayer,MY.GAMES,06/29/21,Windows 10,Core i5 3470 / AMD Athlon 240GE,6 GB,GeForce 250 GTS / Radeon HD 4850,30 GB,,,Windows,
Hellpoint₹829,Hellpoint,₹829,Cradle Games,ActionRPG,Co-opMultiplayerSingle Player,tinyBuild,07/30/20,Windows 10,"4 cores, 3+ Ghz",6 GB,GeForce GTX 760,6GB,,,PlatformWindowsWindowsMac OSMac OS,
Lost Words: Beyond the Page₹459,Lost Words: Beyond the Page,₹459,"Sketchbook Games, Fourth State",AdventureerIndie,Single Player,Modus Games,04/06/21,Windows 10 64 Bit,Intel i7 - 3.4Ghz,6 GB RAM,Graphics Card with support for DirectX 11,3 GB available space,70%,Strong,PlatformWindowsWindows,78
